title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Bom yeoreum gaeul gyeoul geurigo bom,103,Drama,Ki-duk Kim,Ki-duk Kim,Ki-duk Kim; Yeong-su Oh; Jong-ho Kim,8.1,"57,695"
Belle en het Beest,84,Animation; Family; Fantasy,Gary Trousdale; Kirk Wise,Linda Woolverton; Roger Allers,Paige O'Hara; Robby Benson; Jesse Corti,8.0,"279,164"
The Night of the Hunter,92,Crime; Drama; Film-Noir,Charles Laughton; Robert Mitchum,Davis Grubb; James Agee,Robert Mitchum; Shelley Winters; Lillian Gish,8.1,"60,008"
Anatomy of a Murder,160,Crime; Drama; Mystery,Otto Preminger,Wendell Mayes; John D. Voelker,James Stewart; Lee Remick; Ben Gazzara,8.1,"42,645"
Before Sunset,80,Drama; Romance,Richard Linklater,Richard Linklater; Julie Delpy,Ethan Hawke; Julie Delpy; Vernon Dobtcheff,8.1,"153,527"
La Strada,108,Drama,Federico Fellini,Federico Fellini; Tullio Pinelli,Anthony Quinn; Giulietta Masina; Richard Basehart,8.1,"43,909"
Le samouraï,105,Crime; Drama; Mystery,Jean-Pierre Melville,Jean-Pierre Melville; Georges Pellegrin,Alain Delon; Nathalie Delon; François Périer,8.1,"29,420"
The Graduate,106,Comedy; Drama; Romance,Mike Nichols,Calder Willingham; Buck Henry,Dustin Hoffman; Anne Bancroft; Katharine Ross,8.0,"200,110"
The Hustler,134,Drama; Sport,Robert Rossen,Sidney Carroll; Robert Rossen,Paul Newman; Jackie Gleason; Piper Laurie,8.1,"59,830"
La dolce vita,174,Comedy; Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Marcello Mastroianni; Anita Ekberg; Anouk Aimée,8.1,"45,294"
Solaris,167,Drama; Mystery; Sci-Fi,Andrei Tarkovsky,Stanislaw Lem; Fridrikh Gorenshteyn,Natalya Bondarchuk; Donatas Banionis; Jüri Järvet,8.1,"49,405"
Fa yeung nin wa,98,Drama; Romance,Kar Wai Wong,Kar Wai Wong,Tony Chiu Wai Leung; Maggie Cheung; Ping Lam Siu,8.1,"68,728"
Wat is er toch van Baby Jane terechtgekomen?,134,Drama; Thriller,Robert Aldrich,Henry Farrell; Lukas Heller,Bette Davis; Joan Crawford; Victor Buono,8.1,"28,795"
Tramlijn Begeerte,122,Drama,Elia Kazan,Tennessee Williams; Oscar Saul,Vivien Leigh; Marlon Brando; Kim Hunter,8.1,"73,563"
Trois couleurs: Rouge,99,Drama; Mystery; Romance,Krzysztof Kieslowski,Krzysztof Kieslowski; Krzysztof Piesiewicz,Irène Jacob; Jean-Louis Trintignant; Frédérique Feder,8.1,"59,401"
